id_cuenta,numero_cuenta,fecha_apertura
acded851-afd6-41be-98e5-b208d7de0144,MX-ACC-132097,2024-01-01
e7a3c7c1-abf0-4342-8f46-4ca8cb0ba4d2,MX-ACC-613153,2024-01-01
bf5e11ab-b3bd-45c6-bf7e-51f4266ba254,MX-ACC-164820,2024-01-01
717e0990-4bb9-4370-bb94-d871b1087095,MX-ACC-841040,2024-01-01
723aa80e-e08f-4d71-b5e1-12ab4ac40c8f,MX-ACC-216421,2024-01-01
86c80eb5-54bc-4cc7-840c-c29bd2a033f1,MX-ACC-746465,2024-01-01
89dcd5d8-3abd-4e2f-bcf1-610a21d29d64,MX-ACC-666074,2024-01-01
778d2a1a-1364-4bce-9158-faa11bab276e,MX-ACC-664262,2024-01-01
c8a3e8b0-4eb9-4dd3-9a93-1f0ac6928ea7,MX-ACC-200235,2024-01-01
44c2ed8a-1ac8-4efe-b44e-5e581487bf9a,MX-ACC-214352,2024-01-01
092be737-dd03-47ba-ad38-f2a3268b1547,MX-ACC-258768,2024-01-01
ec1544af-dc24-48fa-b250-7060afefe557,MX-ACC-642335,2024-01-01
bca84e41-ce58-4716-a01e-e00c8ef052f3,MX-ACC-318134,2024-01-01
faf3d855-6c6e-4881-982d-c592cdd37f02,MX-ACC-374907,2024-01-01
a801ae30-266c-45a6-b75b-bdcfcc7b3c5f,MX-ACC-118070,2024-01-01
e4515737-a3c1-434e-9e49-61063b96e22e,MX-ACC-572930,2024-01-01
f38dfda7-95e5-42ca-ba51-bec4257f4d37,MX-ACC-234055,2024-01-01
c9bec987-e335-4b63-a4dc-865adac62fad,MX-ACC-369544,2024-01-01
e457993a-6b66-40d4-891c-03de1d899814,MX-ACC-237717,2024-01-01
852e6e78-9182-49c9-a70c-313f9a04a2b2,MX-ACC-292714,2024-01-01
a9da6bba-bd29-4614-b4b6-fcdbcb7d2d94,MX-ACC-566960,2024-01-01
9d02000c-6a22-459f-bd88-db02784d1bc2,MX-ACC-868734,2024-01-01
8fe590c2-0674-4dc4-8c5e-eacf17d145c0,MX-ACC-585450,2024-01-01
f3a41ba9-44d4-478f-a694-d6ad335b8123,MX-ACC-415172,2024-01-01
58863dc0-61ad-4d99-8b63-87dd12bfd403,MX-ACC-890180,2024-01-01
29b37d6f-5af8-41b3-b947-f26883ddbc4a,MX-ACC-599883,2024-01-01
92399789-aaa6-4b36-8824-72e52de9d045,MX-ACC-535165,2024-01-01
3273dd04-acc4-448e-9251-012525a135cf,MX-ACC-556292,2024-01-01
73989f41-b4d9-40f0-b915-47f2569c7676,MX-ACC-360910,2024-01-01
975be45d-bb86-4402-9760-3c8ed901757c,MX-ACC-434402,2024-01-01
499ff97b-d47b-471d-baee-4a73a906d68e,MX-ACC-666202,2024-01-01
9b3f1dce-ca73-42bb-a059-02178c631736,MX-ACC-616142,2024-01-01
cf8bf668-730f-45f8-acf0-d365c13b3548,MX-ACC-365517,2024-01-01
a1a7fdb5-217c-494c-9b18-4c26fe70694f,MX-ACC-318969,2024-01-01
a3dc7919-9df9-4922-ba22-477d0e775ee5,MX-ACC-424767,2024-01-01
e2057f20-05b1-4a12-b5dc-13a828c1b785,MX-ACC-954211,2024-01-01
bb121f0b-aa32-44a9-85d1-bf71779ffa42,MX-ACC-517170,2024-01-01
51ca4a34-8ad3-449b-b7e3-bac5fb33a2ee,MX-ACC-590025,2024-01-01
2edba3f8-67cc-4e72-a05c-9d30d4a7ea9f,MX-ACC-570951,2024-01-01
b84d0b3a-54e8-4bc8-8cb9-1a9c18f04aa1,MX-ACC-758271,2024-01-01
ee83974d-240b-40a2-a7db-bef7d08dc949,MX-ACC-384260,2024-01-01
a96eb185-8027-4995-b474-db323ea2ac64,MX-ACC-382762,2024-01-01
d8d59be5-9a10-48b1-ae5f-7636b8e7759d,MX-ACC-984011,2024-01-01
62281d93-36de-42a3-98d5-8b7667a9bf05,MX-ACC-497710,2024-01-01
5236b2f3-0801-4384-a5ac-6d976c76628a,MX-ACC-881817,2024-01-01
387adacf-9a73-43b7-aaf7-9c723567ec21,MX-ACC-252617,2024-01-01
a847860d-33f3-4cb9-8d5a-92340f6652da,MX-ACC-799983,2024-01-01
11f9d963-3e86-49f7-ac62-65d8d0039d64,MX-ACC-589570,2024-01-01
166422f8-bc3e-43a7-8a79-81a73ba041a7,MX-ACC-824839,2024-01-01
fdabfd3a-af77-4edd-a7f0-bd0d3c937543,MX-ACC-311837,2024-01-01
0fe03708-ddc9-43ba-ad4d-dbf22bfc4576,MX-ACC-595553,2024-01-01
6c06c334-ce1a-4cdd-9504-cc4227946096,MX-ACC-206081,2024-01-01
7315bff1-3d36-49fc-9c39-1bd0fdea4b5a,MX-ACC-113986,2024-01-01
18f0a481-9149-4429-a5a0-1be425537654,MX-ACC-546438,2024-01-01
d2afc051-2160-4e5f-a354-ecb6253e7ab5,MX-ACC-750419,2024-01-01
aaf10a50-9c18-4a95-961c-583ece512f78,MX-ACC-635822,2024-01-01
a58010dd-7e43-45c2-bcbe-f51debbc4d11,MX-ACC-382247,2024-01-01
0b4b62ee-4cba-40de-8165-726791fbc4ca,MX-ACC-514568,2024-01-01
da1fa000-f4fe-4e57-b6b2-30d716dad649,MX-ACC-860463,2024-01-01
04dbaccd-309c-4464-8be8-b25d505be4e3,MX-ACC-390160,2024-01-01
20890798-2f5c-482b-86c5-5f69cc769156,MX-ACC-787281,2024-01-01
ab310222-afda-4c5a-9bdd-ed85548295e7,MX-ACC-718362,2024-01-01
7553853d-f0bd-4b7e-9508-d28a00101a35,MX-ACC-587462,2024-01-01
d9c4f2f6-7287-4a24-b329-f0df76b1c681,MX-ACC-654594,2024-01-01
ca4e654f-a067-4be1-b60d-7ee9c14c759a,MX-ACC-195462,2024-01-01
6f2687b4-d9b7-4811-b498-ed91bb0e4e96,MX-ACC-257504,2024-01-01
